variable,type,label,labelset,dataset_label
v247x,haven_labelled|vctrs_vctr|double,collection of menstrual blood: other,NA,NA
v247y,haven_labelled|vctrs_vctr|double,collection of menstrual blood: nothing,NA,NA
v248,haven_labelled|vctrs_vctr|double,able to change in privacy during last menstrual cycle,NA,NA
v249,haven_labelled|vctrs_vctr|double,age at first menstrual period,NA,NA
v310,numeric,na - living children at first use,NA,NA
v311,haven_labelled|vctrs_vctr|double,na - children at first use (grouped),NA,NA
v312,haven_labelled|vctrs_vctr|double,current contraceptive method,NA,NA
v313,haven_labelled|vctrs_vctr|double,current use by method type,NA,NA
v315,numeric,month of start of use of method,NA,NA
v316,numeric,year of start of use of method,NA,NA
v317,numeric,date of start of use of method (cmc),NA,NA
v318,haven_labelled|vctrs_vctr|double,completeness of information,NA,NA
v319,haven_labelled|vctrs_vctr|double,years since sterilization,NA,NA
v320,haven_labelled|vctrs_vctr|double,age at sterilization,NA,NA
v321,haven_labelled|vctrs_vctr|double,years since first union at sterilization,NA,NA
v321a,haven_labelled|vctrs_vctr|double,years since current union at sterilization,NA,NA
v322,haven_labelled|vctrs_vctr|double,parity at sterilization,NA,NA
v323,haven_labelled|vctrs_vctr|double,brand of pill used,NA,NA
v323a,haven_labelled|vctrs_vctr|double,brand of condom used,NA,NA
v325a,haven_labelled|vctrs_vctr|double,na - cost of current method (in currency),NA,NA
v326,haven_labelled|vctrs_vctr|double,last source for current users,NA,NA
v327,haven_labelled|vctrs_vctr|double,last source for users by type,NA,NA
v337,haven_labelled|vctrs_vctr|double,months of use of current method,NA,NA
v359,haven_labelled|vctrs_vctr|double,last method discontinued in last 5 years,NA,NA
v360,haven_labelled|vctrs_vctr|double,reason of last discontinuation,NA,NA
v361,haven_labelled|vctrs_vctr|double,pattern of use,NA,NA
v362,haven_labelled|vctrs_vctr|double,intention to use,NA,NA
v363,haven_labelled|vctrs_vctr|double,na - preferred future method,NA,NA
v364,haven_labelled|vctrs_vctr|double,contraceptive use and intention,NA,NA
v367,haven_labelled|vctrs_vctr|double,wanted last child,NA,NA
v367a,haven_labelled|vctrs_vctr|double,wanted last pregnancy,NA,NA
v372,haven_labelled|vctrs_vctr|double,na - shown pill package,NA,NA
v372a,haven_labelled|vctrs_vctr|double,na - shown condom package,NA,NA
v375a,haven_labelled|vctrs_vctr|double,na - main reason not using a method,NA,NA
v376,haven_labelled|vctrs_vctr|double,na - main reason not to use a method,NA,NA
v376a,haven_labelled|vctrs_vctr|double,na - would ever use method if married,NA,NA
v379,haven_labelled|vctrs_vctr|double,source known for any method,NA,NA
v380,haven_labelled|vctrs_vctr|double,source known for any method,NA,NA
v384a,haven_labelled|vctrs_vctr|double,heard family planning on radio last few months,NA,NA
v384b,haven_labelled|vctrs_vctr|double,heard family planning on tv last few months,NA,NA
v384c,haven_labelled|vctrs_vctr|double,heard family planning in newspaper/magazine last few months,NA,NA
v384d,haven_labelled|vctrs_vctr|double,heard family planning by text messages on mobile phone,NA,NA
v384e,haven_labelled|vctrs_vctr|double,"seen about family planning on facebook, twitter, instagram, others",NA,NA
v384f,haven_labelled|vctrs_vctr|double,"seen about family planning on poster, brochure",NA,NA
v384g,haven_labelled|vctrs_vctr|double,"seen about family planning on outdoor sign, billboard",NA,NA
v384h,haven_labelled|vctrs_vctr|double,heard family planning at community meetings events,NA,NA
v384i,haven_labelled|vctrs_vctr|double,na - heard/seen family planning cs,NA,NA
v384j,haven_labelled|vctrs_vctr|double,na - heard/seen family planning cs,NA,NA
v384k,haven_labelled|vctrs_vctr|double,na - heard/seen family planning cs,NA,NA
v393,haven_labelled|vctrs_vctr|double,visited by fieldworker in last 12 months,NA,NA
v393a,haven_labelled|vctrs_vctr|double,did fieldworker talk about family planning,NA,NA
v394,haven_labelled|vctrs_vctr|double,visited health facility last 12 months,NA,NA
v395,haven_labelled|vctrs_vctr|double,"at health facility, told of family planning",NA,NA
v3a00a,haven_labelled|vctrs_vctr|double,na - source of family planning for non-users: government hospital,NA,NA
v3a00b,haven_labelled|vctrs_vctr|double,na - source of family planning for non-users: cs public sector,NA,NA
v3a00c,haven_labelled|vctrs_vctr|double,na - source of family planning for non-users: cs public sector,NA,NA
v3a00d,haven_labelled|vctrs_vctr|double,na - source of family planning for non-users: cs public sector,NA,NA
v3a00e,haven_labelled|vctrs_vctr|double,na - source of family planning for non-users: cs public sector,NA,NA
v3a00f,haven_labelled|vctrs_vctr|double,na - source of family planning for non-users: cs public sector,NA,NA
v3a00g,haven_labelled|vctrs_vctr|double,na - source of family planning for non-users: cs public sector,NA,NA
v3a00h,haven_labelled|vctrs_vctr|double,na - source of family planning for non-users: cs public sector,NA,NA
v3a00i,haven_labelled|vctrs_vctr|double,na - source of family planning for non-users: cs public sector,NA,NA
v3a00j,haven_labelled|vctrs_vctr|double,na - source of family planning for non-users: private hospital/clinic,NA,NA
v3a00k,haven_labelled|vctrs_vctr|double,na - source of family planning for non-users: pharmacy,NA,NA
v3a00l,haven_labelled|vctrs_vctr|double,na - source of family planning for non-users: private doctor,NA,NA
v3a00m,haven_labelled|vctrs_vctr|double,na - source of family planning for non-users: cs private sector,NA,NA
v3a00n,haven_labelled|vctrs_vctr|double,na - source of family planning for non-users: cs private sector,NA,NA
v3a00o,haven_labelled|vctrs_vctr|double,na - source of family planning for non-users: cs private sector,NA,NA
v3a00p,haven_labelled|vctrs_vctr|double,na - source of family planning for non-users: cs private sector,NA,NA
v3a00q,haven_labelled|vctrs_vctr|double,na - source of family planning for non-users: cs private sector,NA,NA
v3a00r,haven_labelled|vctrs_vctr|double,na - source of family planning for non-users: cs private sector,NA,NA
v3a00s,haven_labelled|vctrs_vctr|double,na - source of family planning for non-users: cs other,NA,NA
v3a00t,haven_labelled|vctrs_vctr|double,na - source of family planning for non-users: cs other,NA,NA
v3a00u,haven_labelled|vctrs_vctr|double,na - source of family planning for non-users: cs other,NA,NA
v3a00v,haven_labelled|vctrs_vctr|double,na - source of family planning for non-users: cs other,NA,NA
v3a00w,haven_labelled|vctrs_vctr|double,na - source of family planning for non-users: cs other,NA,NA
v3a00x,haven_labelled|vctrs_vctr|double,na - source of family planning for non-users: other,NA,NA
v3a00y,haven_labelled|vctrs_vctr|double,source of family planning for non-users: no source,NA,NA
v3a00z,haven_labelled|vctrs_vctr|double,source of family planning for non-users: any source,NA,NA
v3a01,haven_labelled|vctrs_vctr|double,na - told sterilization would mean no more children,NA,NA
v3a02,haven_labelled|vctrs_vctr|double,told about side effects,NA,NA
v3a03,haven_labelled|vctrs_vctr|double,na - told about side effects by health or family planning worker,NA,NA
v3a04,haven_labelled|vctrs_vctr|double,told how to deal with side effects,NA,NA
v3a05,haven_labelled|vctrs_vctr|double,told about other family planning methods,NA,NA
v3a06,haven_labelled|vctrs_vctr|double,na - told about other family planning methods by health or family planning worke,NA,NA
v3a07,haven_labelled|vctrs_vctr|double,first source for current method,NA,NA
v3a08a,haven_labelled|vctrs_vctr|double,reason not using: not married,NA,NA
v3a08b,haven_labelled|vctrs_vctr|double,reason not using: not having sex,NA,NA
v3a08c,haven_labelled|vctrs_vctr|double,reason not using: infrequent sex,NA,NA
v3a08d,haven_labelled|vctrs_vctr|double,reason not using: menopausal/hysterectomy,NA,NA
v3a08e,haven_labelled|vctrs_vctr|double,reason not using: subfecund/infecund,NA,NA
v3a08f,haven_labelled|vctrs_vctr|double,reason not using: postpartum amenorrheic,NA,NA
v3a08g,haven_labelled|vctrs_vctr|double,reason not using: breastfeeding,NA,NA
v3a08h,haven_labelled|vctrs_vctr|double,reason not using: fatalistic,NA,NA
v3a08i,haven_labelled|vctrs_vctr|double,reason not using: respondent opposed,NA,NA
v3a08j,haven_labelled|vctrs_vctr|double,reason not using: husband/partner opposed,NA,NA
v3a08k,haven_labelled|vctrs_vctr|double,reason not using: others opposed,NA,NA
v3a08l,haven_labelled|vctrs_vctr|double,reason not using: religious prohibition,NA,NA
v3a08m,haven_labelled|vctrs_vctr|double,reason not using: knows no method,NA,NA
v3a08n,haven_labelled|vctrs_vctr|double,reason not using: knows no source,NA,NA
v3a08o,haven_labelled|vctrs_vctr|double,na - reason not using: health concerns,NA,NA
v3a08p,haven_labelled|vctrs_vctr|double,reason not using: other side effects,NA,NA
v3a08q,haven_labelled|vctrs_vctr|double,reason not using: lack of access/too far,NA,NA
v3a08r,haven_labelled|vctrs_vctr|double,reason not using: costs too much,NA,NA
v3a08s,haven_labelled|vctrs_vctr|double,reason not using: inconvenient to use,NA,NA
v3a08t,haven_labelled|vctrs_vctr|double,reason not using: interferes with body'??s processes,NA,NA
v3a08u,haven_labelled|vctrs_vctr|double,reason not using: preferred method not available,NA,NA
v3a08v,haven_labelled|vctrs_vctr|double,reason not using: no method available,NA,NA
v3a08w,haven_labelled|vctrs_vctr|double,reason not using: changes in menstrual bleeding,NA,NA
v3a08aa,haven_labelled|vctrs_vctr|double,reason not using: methods could cause infertility,NA,NA
v3a08ab,haven_labelled|vctrs_vctr|double,na - reason not using: cs,NA,NA
v3a08ac,haven_labelled|vctrs_vctr|double,na - reason not using: cs,NA,NA
v3a08ad,haven_labelled|vctrs_vctr|double,na - reason not using: cs,NA,NA
v3a08ae,haven_labelled|vctrs_vctr|double,na - reason not using: cs,NA,NA
v3a08af,haven_labelled|vctrs_vctr|double,na - reason not using: cs,NA,NA
v3a08x,haven_labelled|vctrs_vctr|double,reason not using: other,NA,NA
v3a08z,haven_labelled|vctrs_vctr|double,reason not using: don't know,NA,NA
v3a09a,haven_labelled|vctrs_vctr|double,na - how many pill cycles did get last time,NA,NA
v3a09b,haven_labelled|vctrs_vctr|double,na - how many condoms did get last time,NA,NA
v3a10,haven_labelled|vctrs_vctr|double,probe for respondent/partner sterilized,NA,NA
v3a11,haven_labelled|vctrs_vctr|double,type of injectable based on picture observation,NA,NA
v3a12,haven_labelled|vctrs_vctr|double,person who injected last time,NA,NA
v3a13,haven_labelled|vctrs_vctr|double,used emergency contraception in past 12 months,NA,NA
v3a14,haven_labelled|vctrs_vctr|double,could switch method if wanted/needed,NA,NA
v401,haven_labelled|vctrs_vctr|double,last birth a caesarean section,NA,NA
v404,haven_labelled|vctrs_vctr|double,currently breastfeeding,NA,NA
v405,haven_labelled|vctrs_vctr|double,currently amenorrheic,NA,NA
v406,haven_labelled|vctrs_vctr|double,currently abstaining,NA,NA
v407,haven_labelled|vctrs_vctr|double,na - number of times breastfed during night,NA,NA
v408,haven_labelled|vctrs_vctr|double,na - number of times breastfed during day,NA,NA
v415,haven_labelled|vctrs_vctr|double,drank from bottle with nipple yesterday/last night,NA,NA
v416,haven_labelled|vctrs_vctr|double,na - heard of oral rehydration,NA,NA
v417,numeric,entries in pregnancy and postnatal care roster,NA,NA
v418,numeric,entries in immunization roster,NA,NA
v418a,numeric,entries in child health roster,NA,NA
v419,numeric,entries in height/weight roster,NA,NA
v420,numeric,measurer's code,NA,NA
v421,haven_labelled|vctrs_vctr|double,assistant measurer's code,NA,NA
v426,haven_labelled|vctrs_vctr|double,when child put to breast,NA,NA
v437,haven_labelled|vctrs_vctr|double,respondent's weight in kilograms (1 decimal),NA,NA
v438,haven_labelled|vctrs_vctr|double,respondent's height in centimeters (1 decimal),NA,NA
v445,haven_labelled|vctrs_vctr|double,body mass index,NA,NA
v447,haven_labelled|vctrs_vctr|double,result of measurement - height/weight,NA,NA
v446a,haven_labelled|vctrs_vctr|double,height/age standard deviation (new who) (women age 15-19),NA,NA
v446d,haven_labelled|vctrs_vctr|double,bmi/age standard deviation (new who) (women age 15-19),NA,NA
v447a,numeric,women's age in years (from household questionnaire),NA,NA
v452a,haven_labelled|vctrs_vctr|double,under age 18 (from household questionnaire),NA,NA
v452b,haven_labelled|vctrs_vctr|double,line number of parent/caretaker,NA,NA
v452c,haven_labelled|vctrs_vctr|double,read consent statement - hemoglobin,NA,NA
v453,haven_labelled|vctrs_vctr|double,hemoglobin level (g/dl - 1 decimal),NA,NA
v454,haven_labelled|vctrs_vctr|double,currently pregnant (from household questionnaire),NA,NA
v455,haven_labelled|vctrs_vctr|double,result of measurement - hemoglobin,NA,NA
v456,numeric,hemoglobin level adjusted for altitude and smoking (g/dl - 1 decimal),NA,NA
v456a,numeric,hemoglobin level adjusted for altitude and smoking (g/dl - 1 decimal) (new who),NA,NA
v457,haven_labelled|vctrs_vctr|double,anemia level,NA,NA
v457a,haven_labelled|vctrs_vctr|double,anemia level (new who),NA,NA
v458,haven_labelled|vctrs_vctr|double,na - agrees to referral - anemia,NA,NA
v459,haven_labelled|vctrs_vctr|double,have mosquito bed net for sleeping (from household questionnaire),NA,NA
v460,haven_labelled|vctrs_vctr|double,children under 5 slept under mosquito bed net last night (household questionnair,NA,NA
v461,haven_labelled|vctrs_vctr|double,respondent slept under mosquito bed net,NA,NA
v462,haven_labelled|vctrs_vctr|double,na - washed hands before preparing last meal,NA,NA
v463a,haven_labelled|vctrs_vctr|double,smokes cigarettes,NA,NA
v463b,haven_labelled|vctrs_vctr|double,smokes pipe full of tobacco,NA,NA
v463c,haven_labelled|vctrs_vctr|double,chews tobacco,NA,NA
v463d,haven_labelled|vctrs_vctr|double,snuffs by nose,NA,NA
v463e,haven_labelled|vctrs_vctr|double,smokes kreteks,NA,NA
v463f,haven_labelled|vctrs_vctr|double,"smokes cigars, cheroots or cigarillos",NA,NA
v463g,haven_labelled|vctrs_vctr|double,smokes water pipe,NA,NA
v463h,haven_labelled|vctrs_vctr|double,snuff by mouth,NA,NA
v463i,haven_labelled|vctrs_vctr|double,chews betel quid with tobacco,NA,NA
v463j,haven_labelled|vctrs_vctr|double,na - smokes/uses country specific,NA,NA
v463k,haven_labelled|vctrs_vctr|double,na - smokes/uses country specific,NA,NA
v463l,haven_labelled|vctrs_vctr|double,na - smokes/uses country specific,NA,NA
v463x,haven_labelled|vctrs_vctr|double,smokes/uses other,NA,NA
v463z,haven_labelled|vctrs_vctr|double,does not use cigarettes and tobacco,NA,NA
v463aa,haven_labelled|vctrs_vctr|double,frequency smokes cigarettes,NA,NA
v463ab,haven_labelled|vctrs_vctr|double,frequency currently uses other type of tobacco,NA,NA
v464,haven_labelled|vctrs_vctr|double,number of cigarettes in last 24 hours,NA,NA
v466,haven_labelled|vctrs_vctr|double,"na - when child is seriously ill, can decide whether medical treatment sought",NA,NA
v467a,haven_labelled|vctrs_vctr|double,na - getting medical help for self: know where to go,NA,NA
v467b,haven_labelled|vctrs_vctr|double,getting medical help for self: getting permission to go,NA,NA
v467c,haven_labelled|vctrs_vctr|double,getting medical help for self: getting money needed for treatment,NA,NA
v467d,haven_labelled|vctrs_vctr|double,getting medical help for self: distance to health facility,NA,NA
v467e,haven_labelled|vctrs_vctr|double,na - getting medical help for self: having to take transport,NA,NA
v467f,haven_labelled|vctrs_vctr|double,getting medical help for self: not wanting to go alone,NA,NA
v467g,haven_labelled|vctrs_vctr|double,na - getting medical help for self: concern no female health provider,NA,NA
v467h,haven_labelled|vctrs_vctr|double,na - getting medical help for self: concern no provider,NA,NA
v467i,haven_labelled|vctrs_vctr|double,na - getting medical help for self: concern no drugs available,NA,NA
v467j,haven_labelled|vctrs_vctr|double,na - getting medical help for self: cs,NA,NA
v467k,haven_labelled|vctrs_vctr|double,na - getting medical help for self: cs,NA,NA
v467l,haven_labelled|vctrs_vctr|double,na - getting medical help for self: cs,NA,NA
v467m,haven_labelled|vctrs_vctr|double,na - getting medical help for self: cs,NA,NA
v468,haven_labelled|vctrs_vctr|double,record for last birth,NA,NA
v471a,haven_labelled|vctrs_vctr|double,"na - woman had tinned, powdered or fresh milk",NA,NA
v471b,haven_labelled|vctrs_vctr|double,na - woman had tea or coffee,NA,NA
v471c,haven_labelled|vctrs_vctr|double,woman had any other liquid,NA,NA
v471cs,haven_labelled|vctrs_vctr|double,woman other liquid - sweetened,NA,NA
v471d,haven_labelled|vctrs_vctr|double,woman had sodas/malt/sports/energy drinks,NA,NA
v471e,haven_labelled|vctrs_vctr|double,"woman had fruit juice, fruit-flavored drinks",NA,NA
v471f,haven_labelled|vctrs_vctr|double,na - woman had cs liquid,NA,NA
v471g,haven_labelled|vctrs_vctr|double,na - woman had cs liquid,NA,NA
v471h,haven_labelled|vctrs_vctr|double,na - woman had cs liquid,NA,NA
v471i,haven_labelled|vctrs_vctr|double,na - woman had cs liquid,NA,NA
v472a,haven_labelled|vctrs_vctr|double,woman had other vegetables,NA,NA
v472b,haven_labelled|vctrs_vctr|double,"woman had sausages, hot dogs, frankfurters, ham, bacon, salami, canned food",NA,NA
v472c,haven_labelled|vctrs_vctr|double,"woman had nuts, seeds",NA,NA
